dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading 
0.02,17.0028,-11.2000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0028,0.1400,7.0000,0.0000,0.0000,
0.02,17.0084,-11.2000,0.0084,0.2800,7.0000,0.0000,0.0084,0.2800,7.0000,0.0000,0.0084,0.2800,7.0000,0.0000,0.0000,
0.02,17.0168,-11.2000,0.0168,0.4200,7.0000,0.0000,0.0168,0.4200,7.0000,0.0000,0.0168,0.4200,7.0000,0.0000,0.0000,
0.02,17.0280,-11.2000,0.0280,0.5600,7.0000,0.0000,0.0280,0.5600,7.0000,0.0000,0.0280,0.5600,7.0000,0.0000,0.0000,
0.02,17.0420,-11.2000,0.0420,0.7000,7.0000,0.0000,0.0420,0.7000,7.0000,0.0000,0.0420,0.7000,7.0000,0.0000,0.0000,
0.02,17.0588,-11.2000,0.0588,0.8400,7.0000,0.0000,0.0588,0.8400,7.0000,0.0000,0.0588,0.8400,7.0000,0.0000,0.0000,
0.02,17.0784,-11.2000,0.0784,0.9800,7.0000,0.0000,0.0784,0.9800,7.0000,0.0000,0.0784,0.9800,7.0000,0.0000,0.0000,
0.02,17.1008,-11.2000,0.1008,1.1200,7.0000,0.0000,0.1008,1.1200,7.0000,0.0000,0.1008,1.1200,7.0000,0.0000,0.0000,
0.02,17.1260,-11.2000,0.1260,1.2600,7.0000,0.0000,0.1260,1.2600,7.0000,0.0000,0.1260,1.2600,7.0000,0.0000,0.0000,
0.02,17.1540,-11.2000,0.1540,1.4000,7.0000,0.0000,0.1540,1.4000,7.0000,0.0000,0.1540,1.4000,7.0000,0.0000,0.0000,
0.02,17.1848,-11.2000,0.1848,1.5400,7.0000,0.0000,0.1848,1.5400,7.0000,0.0000,0.1848,1.5400,7.0000,0.0000,0.0000,
0.02,17.2184,-11.2000,0.2184,1.6800,7.0000,0.0000,0.2184,1.6800,7.0000,0.0000,0.2184,1.6800,7.0000,0.0000,0.0000,
0.02,17.2548,-11.2000,0.2548,1.8200,7.0000,0.0000,0.2548,1.8200,7.0000,0.0000,0.2548,1.8200,7.0000,0.0000,0.0000,
0.02,17.2940,-11.2000,0.2940,1.9600,7.0000,0.0000,0.2940,1.9600,7.0000,0.0000,0.2940,1.9600,7.0000,0.0000,0.0000,
0.02,17.3360,-11.2000,0.3360,2.1000,7.0000,0.0000,0.3360,2.1000,7.0000,0.0000,0.3360,2.1000,7.0000,0.0000,0.0000,
0.02,17.3808,-11.2000,0.3808,2.2400,7.0000,0.0000,0.3808,2.2400,7.0000,0.0000,0.3808,2.2400,7.0000,0.0000,0.0000,
0.02,17.4284,-11.2000,0.4284,2.3800,7.0000,0.0000,0.4284,2.3800,7.0000,0.0000,0.4284,2.3800,7.0000,0.0000,0.0000,
0.02,17.4788,-11.2000,0.4788,2.5200,7.0000,0.0000,0.4788,2.5200,7.0000,0.0000,0.4788,2.5200,7.0000,0.0000,0.0000,
0.02,17.5320,-11.2000,0.5320,2.6600,7.0000,0.0000,0.5320,2.6600,7.0000,0.0000,0.5320,2.6600,7.0000,0.0000,0.0000,
0.02,17.5880,-11.2000,0.5880,2.8000,7.0000,0.0000,0.5880,2.8000,7.0000,0.0000,0.5880,2.8000,7.0000,0.0000,0.0000,
0.02,17.6468,-11.2000,0.6468,2.9400,7.0000,0.0000,0.6468,2.9400,7.0000,0.0000,0.6468,2.9400,7.0000,0.0000,0.0000,
0.02,17.7084,-11.2000,0.7084,3.0800,7.0000,0.0000,0.7084,3.0800,7.0000,0.0000,0.7084,3.0800,7.0000,0.0000,0.0000,
0.02,17.7728,-11.2000,0.7728,3.2200,7.0000,0.0000,0.7728,3.2200,7.0000,0.0000,0.7728,3.2200,7.0000,0.0000,0.0000,
0.02,17.8400,-11.2000,0.8400,3.3600,7.0000,0.0000,0.8400,3.3600,7.0000,0.0000,0.8400,3.3600,7.0000,0.0000,0.0000,
0.02,17.9100,-11.2000,0.9100,3.5000,7.0000,0.0000,0.9100,3.5000,7.0000,0.0000,0.9100,3.5000,7.0000,0.0000,0.0000,
0.02,17.9828,-11.2000,0.9828,3.6400,7.0000,0.0000,0.9828,3.6400,7.0000,0.0000,0.9828,3.6400,7.0000,0.0000,0.0000,
0.02,18.0584,-11.2000,1.0584,3.7800,7.0000,0.0000,1.0584,3.7800,7.0000,0.0000,1.0584,3.7800,7.0000,0.0000,0.0000,
0.02,18.1368,-11.2000,1.1368,3.9200,7.0000,0.0000,1.1368,3.9200,7.0000,0.0000,1.1368,3.9200,7.0000,0.0000,0.0000,
0.02,18.2180,-11.2000,1.2180,4.0600,7.0000,0.0000,1.2180,4.0600,7.0000,0.0000,1.2180,4.0600,7.0000,0.0000,0.0000,
0.02,18.3020,-11.2000,1.3020,4.2000,7.0000,0.0000,1.3020,4.2000,7.0000,0.0000,1.3020,4.2000,7.0000,0.0000,0.0000,
0.02,18.3888,-11.2000,1.3888,4.3400,7.0000,0.0000,1.3888,4.3400,7.0000,0.0000,1.3888,4.3400,7.0000,0.0000,0.0000,
0.02,18.4784,-11.2000,1.4784,4.4800,7.0000,0.0000,1.4784,4.4800,7.0000,0.0000,1.4784,4.4800,7.0000,0.0000,0.0000,
0.02,18.5708,-11.2000,1.5708,4.6200,7.0000,0.0000,1.5708,4.6200,7.0000,0.0000,1.5708,4.6200,7.0000,0.0000,0.0000,
0.02,18.6660,-11.2000,1.6660,4.7600,7.0000,0.0000,1.6660,4.7600,7.0000,0.0000,1.6660,4.7600,7.0000,0.0000,0.0000,
0.02,18.7640,-11.2000,1.7640,4.9000,7.0000,0.0000,1.7640,4.9000,7.0000,0.0000,1.7640,4.9000,7.0000,0.0000,0.0000,
0.02,18.8640,-11.2000,1.8640,5.0000,5.0000,-100.0000,1.8640,5.0000,7.0000,0.0000,1.8640,5.0000,5.0000,-100.0000,0.0000,
0.02,18.9640,-11.2000,1.9640,5.0000,0.0000,-250.0000,1.9640,5.0000,7.0000,0.0000,1.9640,5.0000,0.0000,-250.0000,0.0000,
0.02,19.0640,-11.2000,2.0640,5.0000,0.0000,0.0000,2.0640,5.0000,7.0000,0.0000,2.0640,5.0000,0.0000,0.0000,0.0000,
0.02,19.1640,-11.2000,2.1640,5.0000,0.0000,0.0000,2.1640,5.0000,7.0000,0.0000,2.1640,5.0000,0.0000,0.0000,0.0000,
0.02,19.2640,-11.2000,2.2640,5.0000,0.0000,0.0000,2.2640,5.0000,7.0000,0.0000,2.2640,5.0000,0.0000,0.0000,0.0000,
0.02,19.3640,-11.2000,2.3640,5.0000,0.0000,0.0000,2.3640,5.0000,7.0000,0.0000,2.3640,5.0000,0.0000,0.0000,0.0000,
0.02,19.4640,-11.2000,2.4640,5.0000,0.0000,0.0000,2.4640,5.0000,7.0000,0.0000,2.4640,5.0000,0.0000,0.0000,0.0000,
0.02,19.5640,-11.2000,2.5640,5.0000,0.0000,0.0000,2.5640,5.0000,7.0000,0.0000,2.5640,5.0000,0.0000,0.0000,0.0000,
0.02,19.6640,-11.2000,2.6640,5.0000,0.0000,0.0000,2.6640,5.0000,7.0000,0.0000,2.6640,5.0000,0.0000,0.0000,0.0000,
0.02,19.7640,-11.2000,2.7640,5.0000,0.0000,0.0000,2.7640,5.0000,7.0000,0.0000,2.7640,5.0000,0.0000,0.0000,0.0000,
0.02,19.8640,-11.2000,2.8640,5.0000,0.0000,0.0000,2.8640,5.0000,7.0000,0.0000,2.8640,5.0000,0.0000,0.0000,0.0000,
0.02,19.9640,-11.2000,2.9640,5.0000,0.0000,0.0000,2.9640,5.0000,7.0000,0.0000,2.9640,5.0000,0.0000,0.0000,0.0000,
0.02,20.0640,-11.2000,3.0640,5.0000,0.0000,0.0000,3.0640,5.0000,7.0000,0.0000,3.0640,5.0000,0.0000,0.0000,0.0000,
0.02,20.1640,-11.2000,3.1640,5.0000,0.0000,0.0000,3.1640,5.0000,7.0000,0.0000,3.1640,5.0000,0.0000,0.0000,0.0000,
0.02,20.2640,-11.2000,3.2640,5.0000,0.0000,0.0000,3.2640,5.0000,7.0000,0.0000,3.2640,5.0000,0.0000,0.0000,0.0000,
0.02,20.3640,-11.2000,3.3640,5.0000,0.0000,0.0000,3.3640,5.0000,7.0000,0.0000,3.3640,5.0000,0.0000,0.0000,0.0000,
0.02,20.4640,-11.2000,3.4640,5.0000,0.0000,0.0000,3.4640,5.0000,7.0000,0.0000,3.4640,5.0000,0.0000,0.0000,0.0000,
0.02,20.5640,-11.2000,3.5640,5.0000,0.0000,0.0000,3.5640,5.0000,7.0000,0.0000,3.5640,5.0000,0.0000,0.0000,0.0000,
0.02,20.6640,-11.2000,3.6640,5.0000,0.0000,0.0000,3.6640,5.0000,7.0000,0.0000,3.6640,5.0000,0.0000,0.0000,0.0000,
0.02,20.7640,-11.2000,3.7640,5.0000,0.0000,0.0000,3.7640,5.0000,7.0000,0.0000,3.7640,5.0000,0.0000,0.0000,0.0000,
0.02,20.8640,-11.2000,3.8640,5.0000,0.0000,0.0000,3.8640,5.0000,7.0000,0.0000,3.8640,5.0000,0.0000,0.0000,0.0000,
0.02,20.9640,-11.2000,3.9640,5.0000,0.0000,0.0000,3.9640,5.0000,7.0000,0.0000,3.9640,5.0000,0.0000,0.0000,0.0000,
0.02,21.0640,-11.2000,4.0640,5.0000,0.0000,0.0000,4.0640,5.0000,7.0000,0.0000,4.0640,5.0000,0.0000,0.0000,0.0000,
0.02,21.1640,-11.2000,4.1640,5.0000,0.0000,0.0000,4.1640,5.0000,7.0000,0.0000,4.1640,5.0000,0.0000,0.0000,0.0000,
0.02,21.2640,-11.2000,4.2640,5.0000,0.0000,0.0000,4.2640,5.0000,7.0000,0.0000,4.2640,5.0000,0.0000,0.0000,0.0000,
0.02,21.3640,-11.2000,4.3640,5.0000,0.0000,0.0000,4.3640,5.0000,7.0000,0.0000,4.3640,5.0000,0.0000,0.0000,0.0000,
0.02,21.4640,-11.2000,4.4640,5.0000,0.0000,0.0000,4.4640,5.0000,7.0000,0.0000,4.4640,5.0000,0.0000,0.0000,0.0000,
0.02,21.5640,-11.2000,4.5640,5.0000,0.0000,0.0000,4.5640,5.0000,7.0000,0.0000,4.5640,5.0000,0.0000,0.0000,0.0000,
0.02,21.6640,-11.2000,4.6640,5.0000,0.0000,0.0000,4.6640,5.0000,7.0000,0.0000,4.6640,5.0000,0.0000,0.0000,0.0000,
0.02,21.7640,-11.2000,4.7640,5.0000,0.0000,0.0000,4.7640,5.0000,7.0000,0.0000,4.7640,5.0000,0.0000,0.0000,0.0000,
0.02,21.8640,-11.2000,4.8640,5.0000,0.0000,0.0000,4.8640,5.0000,7.0000,0.0000,4.8640,5.0000,0.0000,0.0000,0.0000,
0.02,21.9640,-11.2000,4.9640,5.0000,0.0000,0.0000,4.9640,5.0000,7.0000,0.0000,4.9640,5.0000,0.0000,0.0000,0.0000,
0.02,22.0640,-11.2000,5.0640,5.0000,0.0000,0.0000,5.0640,5.0000,7.0000,0.0000,5.0640,5.0000,0.0000,0.0000,0.0000,
0.02,22.1640,-11.2000,5.1640,5.0000,0.0000,0.0000,5.1640,5.0000,7.0000,0.0000,5.1640,5.0000,0.0000,0.0000,0.0000,
0.02,22.2640,-11.2000,5.2640,5.0000,0.0000,0.0000,5.2640,5.0000,7.0000,0.0000,5.2640,5.0000,0.0000,0.0000,0.0000,
0.02,22.3640,-11.2000,5.3640,5.0000,0.0000,0.0000,5.3640,5.0000,7.0000,0.0000,5.3640,5.0000,0.0000,0.0000,0.0000,
0.02,22.4640,-11.2000,5.4640,5.0000,0.0000,0.0000,5.4640,5.0000,7.0000,0.0000,5.4640,5.0000,0.0000,0.0000,0.0000,
0.02,22.5640,-11.2000,5.5640,5.0000,0.0000,0.0000,5.5640,5.0000,7.0000,0.0000,5.5640,5.0000,0.0000,0.0000,0.0000,
0.02,22.6640,-11.2000,5.6640,5.0000,0.0000,0.0000,5.6640,5.0000,7.0000,0.0000,5.6640,5.0000,0.0000,0.0000,0.0000,
0.02,22.7640,-11.2000,5.7640,5.0000,0.0000,0.0000,5.7640,5.0000,7.0000,0.0000,5.7640,5.0000,0.0000,0.0000,0.0000,
0.02,22.8640,-11.2000,5.8640,5.0000,0.0000,0.0000,5.8640,5.0000,7.0000,0.0000,5.8640,5.0000,0.0000,0.0000,0.0000,
0.02,22.9640,-11.2000,5.9640,5.0000,0.0000,0.0000,5.9640,5.0000,7.0000,0.0000,5.9640,5.0000,0.0000,0.0000,0.0000,
0.02,23.0640,-11.2000,6.0640,5.0000,0.0000,0.0000,6.0640,5.0000,7.0000,0.0000,6.0640,5.0000,0.0000,0.0000,0.0000,
0.02,23.1640,-11.2000,6.1640,5.0000,0.0000,0.0000,6.1640,5.0000,7.0000,0.0000,6.1640,5.0000,0.0000,0.0000,0.0000,
0.02,23.2640,-11.2000,6.2640,5.0000,0.0000,0.0000,6.2640,5.0000,7.0000,0.0000,6.2640,5.0000,0.0000,0.0000,0.0000,
0.02,23.3640,-11.2000,6.3640,5.0000,0.0000,0.0000,6.3640,5.0000,7.0000,0.0000,6.3640,5.0000,0.0000,0.0000,0.0000,
0.02,23.4640,-11.2000,6.4640,5.0000,0.0000,0.0000,6.4640,5.0000,7.0000,0.0000,6.4640,5.0000,0.0000,0.0000,0.0000,
0.02,23.5640,-11.2000,6.5640,5.0000,0.0000,0.0000,6.5640,5.0000,7.0000,0.0000,6.5640,5.0000,0.0000,0.0000,0.0000,
0.02,23.6640,-11.2000,6.6640,5.0000,0.0000,0.0000,6.6640,5.0000,7.0000,0.0000,6.6640,5.0000,0.0000,0.0000,0.0000,
0.02,23.7640,-11.2000,6.7640,5.0000,0.0000,0.0000,6.7640,5.0000,7.0000,0.0000,6.7640,5.0000,0.0000,0.0000,0.0000,
0.02,23.8640,-11.2000,6.8640,5.0000,0.0000,0.0000,6.8640,5.0000,7.0000,0.0000,6.8640,5.0000,0.0000,0.0000,0.0000,
0.02,23.9640,-11.2000,6.9640,5.0000,0.0000,0.0000,6.9640,5.0000,7.0000,0.0000,6.9640,5.0000,0.0000,0.0000,0.0000,
0.02,24.0640,-11.2000,7.0640,5.0000,0.0000,0.0000,7.0640,5.0000,7.0000,0.0000,7.0640,5.0000,0.0000,0.0000,0.0000,
0.02,24.1640,-11.2000,7.1640,5.0000,0.0000,0.0000,7.1640,5.0000,7.0000,0.0000,7.1640,5.0000,0.0000,0.0000,0.0000,
0.02,24.2640,-11.2000,7.2640,5.0000,0.0000,0.0000,7.2640,5.0000,7.0000,0.0000,7.2640,5.0000,0.0000,0.0000,0.0000,
0.02,24.3640,-11.2000,7.3640,5.0000,0.0000,0.0000,7.3640,5.0000,7.0000,0.0000,7.3640,5.0000,0.0000,0.0000,0.0000,
0.02,24.4640,-11.2000,7.4640,5.0000,0.0000,0.0000,7.4640,5.0000,7.0000,0.0000,7.4640,5.0000,0.0000,0.0000,0.0000,
0.02,24.5640,-11.2000,7.5640,5.0000,0.0000,0.0000,7.5640,5.0000,7.0000,0.0000,7.5640,5.0000,0.0000,0.0000,0.0000,
0.02,24.6640,-11.2000,7.6640,5.0000,0.0000,0.0000,7.6640,5.0000,7.0000,0.0000,7.6640,5.0000,0.0000,0.0000,0.0000,
0.02,24.7640,-11.2000,7.7640,5.0000,0.0000,0.0000,7.7640,5.0000,7.0000,0.0000,7.7640,5.0000,0.0000,0.0000,0.0000,
0.02,24.8640,-11.2000,7.8640,5.0000,0.0000,0.0000,7.8640,5.0000,7.0000,0.0000,7.8640,5.0000,0.0000,0.0000,0.0000,
0.02,24.9640,-11.2000,7.9640,5.0000,0.0000,0.0000,7.9640,5.0000,7.0000,0.0000,7.9640,5.0000,0.0000,0.0000,0.0000,
0.02,25.0640,-11.2000,8.0640,5.0000,0.0000,0.0000,8.0640,5.0000,7.0000,0.0000,8.0640,5.0000,0.0000,0.0000,0.0000,
0.02,25.1640,-11.2000,8.1640,5.0000,0.0000,0.0000,8.1640,5.0000,7.0000,0.0000,8.1640,5.0000,0.0000,0.0000,0.0000,
0.02,25.2640,-11.2000,8.2640,5.0000,0.0000,0.0000,8.2640,5.0000,7.0000,0.0000,8.2640,5.0000,0.0000,0.0000,0.0000,
0.02,25.3640,-11.2000,8.3640,5.0000,0.0000,0.0000,8.3640,5.0000,7.0000,0.0000,8.3640,5.0000,0.0000,0.0000,0.0000,
0.02,25.4640,-11.2000,8.4640,5.0000,0.0000,0.0000,8.4640,5.0000,7.0000,0.0000,8.4640,5.0000,0.0000,0.0000,0.0000,
0.02,25.5640,-11.2000,8.5640,5.0000,0.0000,0.0000,8.5640,5.0000,7.0000,0.0000,8.5640,5.0000,0.0000,0.0000,0.0000,
0.02,25.6640,-11.2000,8.6640,5.0000,0.0000,0.0000,8.6640,5.0000,7.0000,0.0000,8.6640,5.0000,0.0000,0.0000,0.0000,
0.02,25.7640,-11.2000,8.7640,5.0000,0.0000,0.0000,8.7640,5.0000,7.0000,0.0000,8.7640,5.0000,0.0000,0.0000,0.0000,
0.02,25.8640,-11.2000,8.8640,5.0000,0.0000,0.0000,8.8640,5.0000,7.0000,0.0000,8.8640,5.0000,0.0000,0.0000,0.0000,
0.02,25.9640,-11.2000,8.9640,5.0000,0.0000,0.0000,8.9640,5.0000,7.0000,0.0000,8.9640,5.0000,0.0000,0.0000,0.0000,
0.02,26.0640,-11.2000,9.0640,5.0000,0.0000,0.0000,9.0640,5.0000,7.0000,0.0000,9.0640,5.0000,0.0000,0.0000,0.0000,
0.02,26.1640,-11.2000,9.1640,5.0000,0.0000,0.0000,9.1640,5.0000,7.0000,0.0000,9.1640,5.0000,0.0000,0.0000,0.0000,
0.02,26.2640,-11.2000,9.2640,5.0000,0.0000,0.0000,9.2640,5.0000,7.0000,0.0000,9.2640,5.0000,0.0000,0.0000,0.0000,
0.02,26.3640,-11.2000,9.3640,5.0000,0.0000,0.0000,9.3640,5.0000,7.0000,0.0000,9.3640,5.0000,0.0000,0.0000,0.0000,
0.02,26.4640,-11.2000,9.4640,5.0000,0.0000,0.0000,9.4640,5.0000,7.0000,0.0000,9.4640,5.0000,0.0000,0.0000,0.0000,
0.02,26.5640,-11.2000,9.5640,5.0000,0.0000,0.0000,9.5640,5.0000,7.0000,0.0000,9.5640,5.0000,0.0000,0.0000,0.0000,
0.02,26.6640,-11.2000,9.6640,5.0000,0.0000,0.0000,9.6640,5.0000,7.0000,0.0000,9.6640,5.0000,0.0000,0.0000,0.0000,
0.02,26.7640,-11.2000,9.7640,5.0000,0.0000,0.0000,9.7640,5.0000,7.0000,0.0000,9.7640,5.0000,0.0000,0.0000,0.0000,
0.02,26.8640,-11.2000,9.8640,5.0000,0.0000,0.0000,9.8640,5.0000,7.0000,0.0000,9.8640,5.0000,0.0000,0.0000,0.0000,
0.02,26.9640,-11.2000,9.9640,5.0000,0.0000,0.0000,9.9640,5.0000,7.0000,0.0000,9.9640,5.0000,0.0000,0.0000,0.0000,
0.02,27.0640,-11.2000,10.0640,5.0000,0.0000,0.0000,10.0640,5.0000,7.0000,0.0000,10.0640,5.0000,0.0000,0.0000,0.0000,
0.02,27.1640,-11.2000,10.1640,5.0000,0.0000,0.0000,10.1640,5.0000,7.0000,0.0000,10.1640,5.0000,0.0000,0.0000,0.0000,
0.02,27.2640,-11.2000,10.2640,5.0000,0.0000,0.0000,10.2640,5.0000,7.0000,0.0000,10.2640,5.0000,0.0000,0.0000,0.0000,
0.02,27.3640,-11.2000,10.3640,5.0000,0.0000,0.0000,10.3640,5.0000,7.0000,0.0000,10.3640,5.0000,0.0000,0.0000,0.0000,
0.02,27.4640,-11.2000,10.4640,5.0000,0.0000,0.0000,10.4640,5.0000,7.0000,0.0000,10.4640,5.0000,0.0000,0.0000,0.0000,
0.02,27.5640,-11.2000,10.5640,5.0000,0.0000,0.0000,10.5640,5.0000,7.0000,0.0000,10.5640,5.0000,0.0000,0.0000,0.0000,
0.02,27.6640,-11.2000,10.6640,5.0000,0.0000,0.0000,10.6640,5.0000,7.0000,0.0000,10.6640,5.0000,0.0000,0.0000,0.0000,
0.02,27.7640,-11.2000,10.7640,5.0000,0.0000,0.0000,10.7640,5.0000,7.0000,0.0000,10.7640,5.0000,0.0000,0.0000,0.0000,
0.02,27.8640,-11.2000,10.8640,5.0000,0.0000,0.0000,10.8640,5.0000,7.0000,0.0000,10.8640,5.0000,0.0000,0.0000,0.0000,
0.02,27.9640,-11.2000,10.9640,5.0000,0.0000,0.0000,10.9640,5.0000,7.0000,0.0000,10.9640,5.0000,0.0000,0.0000,0.0000,
0.02,28.0640,-11.2000,11.0632,4.9623,-1.8871,-94.3538,11.0640,5.0000,7.0000,0.0000,11.0648,5.0377,1.8871,94.3533,0.0007,
0.02,28.1640,-11.1998,11.1591,4.7942,-8.4049,-325.8912,11.1640,5.0000,7.0000,0.0000,11.1689,5.2058,8.4046,325.8780,0.0043,
0.02,28.2640,-11.1990,11.2515,4.6211,-8.6545,-12.4822,11.2640,5.0000,7.0000,0.0000,11.2764,5.3789,8.6539,12.4625,0.0111,
0.02,28.3640,-11.1974,11.3406,4.4516,-8.4713,9.1607,11.3640,5.0000,7.0000,0.0000,11.3874,5.5483,8.4703,-9.1792,0.0208,
0.02,28.4639,-11.1948,11.4262,4.2829,-8.4359,1.7692,11.4640,5.0000,7.0000,0.0000,11.5018,5.7170,8.4345,-1.7877,0.0336,
0.02,28.5639,-11.1906,11.5085,4.1124,-8.5246,-4.4323,11.5640,5.0000,7.0000,0.0000,11.6195,5.8875,8.5228,4.4124,0.0493,
0.02,28.6637,-11.1848,11.5873,3.9381,-8.7157,-9.5539,11.6640,5.0000,7.0000,0.0000,11.7407,6.0617,8.7134,9.5322,0.0682,
0.02,28.7634,-11.1769,11.6624,3.7584,-8.9869,-13.5617,11.7640,5.0000,7.0000,0.0000,11.8656,6.2414,8.9842,13.5373,0.0903,
0.02,28.8628,-11.1666,11.7339,3.5721,-9.3124,-16.2737,11.8640,5.0000,7.0000,0.0000,11.9941,6.4276,9.3091,16.2464,0.1157,
0.02,28.9620,-11.1537,11.8014,3.3789,-9.6595,-17.3543,11.9640,5.0000,7.0000,0.0000,12.1265,6.6207,9.6556,17.3240,0.1445,
0.02,29.0607,-11.1377,11.8650,3.1792,-9.9857,-16.3141,12.0640,5.0000,7.0000,0.0000,12.2629,6.8203,9.9812,16.2817,0.1769,
0.02,29.1588,-11.1184,11.9245,2.9745,-10.2364,-12.5339,12.1640,5.0000,7.0000,0.0000,12.4034,7.0250,10.2312,12.5009,0.2129,
0.02,29.2561,-11.0954,11.9799,2.7676,-10.3431,-5.3340,12.2640,5.0000,7.0000,0.0000,12.5481,7.2317,10.3373,5.3033,0.2525,
0.02,29.3524,-11.0683,12.0311,2.5631,-10.2254,5.8849,12.3640,5.0000,7.0000,0.0000,12.6968,7.4361,10.2191,-5.9094,0.2959,
0.02,29.4473,-11.0370,12.0785,2.3672,-9.7972,21.4127,12.4640,5.0000,7.0000,0.0000,12.8494,7.6319,9.7906,-21.4254,0.3427,
0.02,29.5407,-11.0011,12.1222,2.1876,-8.9786,40.9284,12.5640,5.0000,7.0000,0.0000,13.0057,7.8113,8.9721,-40.9234,0.3927,
